Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
Einstein: His Life and Universe,Walter Isaacson,4.11,Simon  Schuster,675,2007,9/29/19,to-read
Steve Jobs,Walter Isaacson,4.12,Simon & Schuster,627,2011,9/29/19,to-read
Uncle Tungsten,Oliver Sacks,3.97,Picador,337,2002,9/21/19,to-read
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,4.44,Simon & Schuster,538,2019,8/16/19,to-read
Homer's Odyssey,Gwen Cooper,4.19,Delacorte Press,287,2009,8/8/19,to-read
The River of Consciousness,Oliver Sacks,3.91,Knopf Publishing Group,256,2017,3/12/18,currently-reading
A Gentleman in Moscow,Amor Towles,4.36,Penguin Books,496,2019,4/17/19,read
"The Push: A Climber's Journey of Endurance, Risk, and Going Beyond Limits",Tommy Caldwell,4.47,Viking,341,2017,7/15/19,to-read
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.45,Harvill Secker,498,2014,7/8/19,to-read
Outliers: The Story of Success,Malcolm Gladwell,4.14,"Little, Brown and Company",309,2008,2/24/16,read
Crisis of Conscience,Raymond Franz,4.4,Commentary Press,446,2002,6/15/19,to-read
The Elements of User Experience: User-Centered Design for the Web (Voices (New Riders),Jesse James Garrett,3.97,New Riders,208,2002,6/3/19,to-read
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.34,Harper Perennial,238,2006,6/2/19,read
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,4.28,Allen Lane,480,2018,11/10/18,read
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.35,Viking,416,2013,3/4/19,read
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.38,Random House,473,2010,4/27/19,to-read
Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza,Ken Forkish,4.48,Ten Speed Press,272,2012,4/25/19,to-read
Baking at République: Masterful Techniques and Recipes,Margarita Manzke,4,Lorena Jones Books,266,2019,4/25/19,to-read
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.39,Carroll & Graf Publishers,282,1959,3/19/19,read
Wonders of the Universe,Brian Cox,4.31,Collins,256,2011,5/8/17,to-read
Small Country,Gaël Faye,4.24,Hogarth Press,183,2018,3/18/19,to-read
Born a Crime: Stories From a South African Childhood,Trevor Noah,4.46,Doubleday Canada,304,2016,3/4/19,to-read
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.47,Scribner,368,2017,2/21/19,to-read
Educated,Tara Westover,4.48,Random House,334,2018,12/5/18,read
Grandma Gatewood's Walk: The Inspiring Story of the Woman Who Saved the Appalachian Trail,Ben Montgomery,4.11,Chicago Review Press,288,2014,2/6/19,to-read
Travelling to Infinity,Jane Hawking,3.64,Alma Books,487,2015,1/6/19,to-read
Papillon,Henri Charrière,4.24,William Morrow Paperbacks,544,2006,12/30/18,to-read
The Annotated Wind in the Willows,Kenneth Grahame,3.99,W. W. Norton & Company,468,2009,12/13/17,read
The Tattooist of Auschwitz,Heather   Morris,4.27,Bonnier Publishing Australia,277,2018,12/9/18,to-read
We Survived: Fourteen Histories Of The Hidden And Hunted In Nazi Germany,Eric H. Boehm,4.26,Basic Books,360,2003,12/9/18,to-read
Army of None: Autonomous Weapons and the Future of War,Paul Scharre,3.83,W. W. Norton  Company,448,2018,12/5/18,to-read
Step By Step,Simon Reeve,4.4,Hodder & Stoughton Ltd,352,2018,8/1/18,read
In the Spirit of Crazy Horse: The Story of Leonard Peltier and the FBI's War on the American Indian Movement,Peter Matthiessen,4.23,Penguin Books,688,1992,10/29/18,to-read
