Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Katrina,Einstein: His Life and Universe,Walter Isaacson,743264738,0,4.11,Simon  Schuster,675,2007,9/29/19,to-read,to-read (#106),to-read
Katrina,Steve Jobs,Walter Isaacson,1451648537,0,4.12,Simon & Schuster,627,2011,9/29/19,to-read,to-read (#105),to-read
Katrina,Uncle Tungsten,Oliver Sacks,330390287,0,3.97,Picador,337,2002,9/21/19,to-read,to-read (#104),to-read
Katrina,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,1501134612,0,4.44,Simon & Schuster,538,2019,8/16/19,to-read,to-read (#103),to-read
Katrina,Homer's Odyssey,Gwen Cooper,038534385X,0,4.19,Delacorte Press,287,2009,8/8/19,to-read,to-read (#102),to-read
Katrina,The River of Consciousness,Oliver Sacks,385352565,0,3.91,Knopf Publishing Group,256,2017,3/12/18,currently-reading,currently-reading (#1),currently-reading
Katrina,A Gentleman in Moscow,Amor Towles,143110438,5,4.36,Penguin Books,496,2019,4/17/19,,,read
Katrina,"The Push: A Climber's Journey of Endurance, Risk, and Going Beyond Limits",Tommy Caldwell,399562702,0,4.47,Viking,341,2017,7/15/19,to-read,to-read (#101),to-read
Katrina,Sapiens: A Brief History of Humankind,Yuval Noah Harari,,0,4.45,Harvill Secker,498,2014,7/8/19,to-read,to-read (#100),to-read
Katrina,Outliers: The Story of Success,Malcolm Gladwell,316017922,4,4.14,"Little, Brown and Company",309,2008,2/24/16,,,read
Katrina,Crisis of Conscience,Raymond Franz,914675230,0,4.4,Commentary Press,446,2002,6/15/19,to-read,to-read (#99),to-read
Katrina,The Elements of User Experience: User-Centered Design for the Web (Voices (New Riders),Jesse James Garrett,735712026,0,3.97,New Riders,208,2002,6/3/19,to-read,to-read (#98),to-read
Katrina,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,60856262,5,4.34,Harper Perennial,238,2006,6/2/19,,,read
Katrina,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,241294223,4,4.28,Allen Lane,480,2018,11/10/18,,,read
Katrina,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,067002581X,5,4.35,Viking,416,2013,3/4/19,,,read
Katrina,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,1400064163,0,4.38,Random House,473,2010,4/27/19,to-read,to-read (#97),to-read
Katrina,Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza,Ken Forkish,160774273X,0,4.48,Ten Speed Press,272,2012,4/25/19,to-read,to-read (#96),to-read
Katrina,Baking at République: Masterful Techniques and Recipes,Margarita Manzke,,0,4,Lorena Jones Books,266,2019,4/25/19,to-read,to-read (#95),to-read
